Language	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Files	Depth
Franco-Provençal	frp	3,534	9,275	192,008	2	11,902	22	0	55
Komi-Permyak	koi	3,452	9,188	56,103	1	6,606	8	0	17
Maltese	mt	3,445	15,514	253,999	3	16,654	33	1,149	201
Friulian	fur	3,339	7,855	166,780	2	11,152	18	318	39
Lower Sorbian	dsb	3,251	10,896	137,533	1	14,785	26	0	70
Doteli	dty	3,245	16,937	223,099	3	3,642	20	3	235
Livvi-Karelian	olo	3,245	8,073	27,226	2	4,253	20	0	7
Anglo-Saxon	ang	3,191	15,017	196,956	2	105,299	40	300	180
Extremaduran	ext	3,181	7,214	110,981	1	13,605	17	0	25
Lingala	ln	3,146	8,254	119,599	3	9,688	17	31	38
Zamboanga Chavacano	cbk-x-zam	3,023	5,560	100,057	2	11,586	17	0	13
Divehi	dv	3,002	10,648	121,478	2	20,326	16	933	74
Banjar	bjn	2,974	16,661	65,478	2	10,014	47	1	83
Ripuarian	ksh	2,861	10,363	1,600,814	3	18,524	15	0	1062
Gorontalo	gor	2,764	5,274	25,036	3	1,449	18	0	4
Gagauz	gag	2,726	6,279	63,892	1	9,627	12	0	17
Palatinate German	pfl	2,648	6,725	86,984	4	8,428	14	0	31
Santali	sat	2,550	7,959	41,829	3	2,147	36	0	24
Pali	pi	2,541	4,476	96,444	1	5,415	11	0	12
Pangasinan	pag	2,530	7,737	66,595	1	6,191	16	0	36
Avar	av	2,422	10,412	71,376	2	10,933	20	0	75
Balinese	ban	2,398	4,953	26,580	1	987	27	0	6
Buryat	bxr	2,169	7,908	54,413	2	11,270	20	0	48
Kalmyk	xal	2,082	10,875	80,892	1	7,833	17	0	133
Karachay-Balkar	krc	2,037	14,184	105,203	2	8,009	13	0	264
Tuvan	tyv	2,034	8,008	33,463	1	6,042	19	0	36
Zhuang	za	1,952	4,097	38,665	1	8,012	12	0	11
Papiamentu	pap	1,944	4,715	72,495	2	10,222	18	0	31
Karakalpak	kaa	1,884	4,823	43,071	2	8,495	16	0	22
Pennsylvania German	pdc	1,877	5,682	103,135	1	25,823	16	0	75
Kinyarwanda	rw	1,821	5,187	71,870	1	8,662	21	0	47
Sakizaya	szy	1,749	4,112	89,686	0	824	46	0	40
Tongan	to	1,738	5,044	39,737	2	6,817	8	11	29
Novial	nov	1,671	4,537	174,843	2	8,993	9	0	113
Greenlandic	kl	1,669	3,982	72,539	3	10,312	13	0	35
Aramaic	arc	1,650	6,020	93,374	2	15,891	16	0	109
Jamaican Patois	jam	1,648	2,912	19,848	1	5,011	8	0	4
Tok Pisin	tpi	1,608	5,821	84,872	1	9,971	14	0	100
Kabiye	kbp	1,603	3,125	14,541	1	2,442	8	0	4
Kabardian Circassian	kbd	1,584	6,657	42,435	2	7,550	13	0	65
Tetum	tet	1,477	3,789	63,257	2	7,396	12	0	41
Igbo	ig	1,447	6,061	65,190	2	10,217	29	0	109
Wolof	wo	1,389	5,180	102,499	2	11,762	15	0	147
Zulu	zu	1,383	5,641	56,263	1	13,074	29	0	95
Kikuyu	ki	1,366	2,894	19,632	1	5,811	9	0	8
Nauruan	na	1,309	4,126	81,169	1	9,040	11	0	91
Tulu	tcy	1,272	5,655	75,401	2	3,531	51	0	158
Lojban	jbo	1,252	5,604	109,178	3	12,548	13	0	235
Ingush	inh	1,251	5,318	33,413	2	1,577	12	6	66
Aromanian	rup	1,225	3,915	202,415	1	11,273	16	0	249
Lak	lbe	1,220	12,551	45,594	1	6,655	13	0	313
Bislama	bi	1,219	2,947	38,110	1	9,182	10	0	26
Tahitian	ty	1,204	2,882	52,172	1	5,857	11	0	35
Kongo	kg	1,197	2,809	42,844	2	8,021	13	0	28
Moksha	mdf	1,194	6,710	51,147	2	7,075	15	0	163
Luganda	lg	1,178	4,421	25,154	1	5,518	17	0	43
Atikamekw	atj	1,167	2,122	11,885	6	2,227	32	0	4
Sranan	srn	1,077	2,662	38,096	1	5,865	12	0	31
Xhosa	xh	1,044	3,634	31,367	1	9,016	19	0	53
Guianan Creole	gcr	1,003	2,507	14,983	0	535	9	0	13
Latgalian	ltg	932	3,163	34,325	1	5,427	15	0	62
Cherokee	chr	834	3,697	44,040	1	16,390	19	0	140
Samoan	sm	828	3,000	39,520	1	7,407	14	0	91
Fijian	fj	825	2,756	32,537	1	6,537	11	0	65
Gothic	got	825	3,665	42,395	2	14,430	16	0	137
Akan	ak	799	2,947	21,896	1	9,022	23	0	54
Norfolk	pih	796	3,080	41,253	2	8,351	12	0	110
Oromo	om	786	3,311	31,978	1	6,999	18	0	100
Tswana	tn	710	2,840	22,747	1	7,137	14	0	72
Old Church Slavonic	cu	708	4,988	77,094	2	19,115	18	0	565
Twi	tw	702	2,239	20,286	1	9,250	12	0	43
Tsonga	ts	683	3,630	34,990	2	7,031	16	0	179
Romani	rmy	675	2,580	47,861	1	13,858	10	0	148
Sesotho	st	673	2,402	23,827	1	7,442	11	0	65
Bambara	bm	664	2,571	38,338	1	8,196	14	0	123
Cheyenne	chy	618	2,190	23,418	1	8,656	14	0	69
Kirundi	rn	615	2,342	20,410	1	6,214	13	0	69
Tumbuka	tum	586	1,973	21,887	1	5,855	16	0	62
Chichewa	ny	565	2,960	21,666	3	6,356	16	0	132
N’Ko	nqo	561	877	4,823	0	715	9	0	2
Chamorro	ch	514	2,426	20,999	1	11,915	13	0	120
Swati	ss	504	2,271	36,941	3	6,212	12	0	200
Mon	mnw	477	2,003	16,351	2	671	15	0	--
Pontic	pnt	468	1,994	34,335	1	7,773	14	0	--
Adyghe	ady	417	2,041	8,552	1	3,984	15	0	--
Inuktitut	iu	403	2,885	42,403	2	13,647	14	0	--
Kashmiri	ks	380	1,705	32,882	1	7,326	16	0	--
Venda	ve	367	1,771	17,230	1	5,202	14	0	--
Ewe	ee	358	2,693	48,292	2	10,920	13	0	--
Inupiak	ik	280	2,311	35,358	1	6,414	10	0	--
Sango	sg	262	1,635	19,551	1	4,898	9	0	--
Fula	ff	238	1,842	21,530	1	6,243	19	0	--
Dzongkha	dz	220	2,045	28,118	1	7,393	15	0	--
Tigrinya	ti	220	1,738	20,415	1	6,625	19	0	--
Dinka	din	122	771	5,432	1	4,339	14	0	--
Cree	cr	104	2,038	34,763	2	12,382	15	0	--
Ndonga	ng	8	442	5,921	1	2,040	2	0	--
Choctaw	cho	6	201	4,218	1	1,585	3	0	--
Kuanyama	kj	4	114	3,548	1	1,241	2	0	--
Marshallese	mh	4	206	4,212	1	1,914	3	0	--
Hiri Motu	ho	3	129	3,786	1	1,398	2	0	--
Sichuan Yi	ii	3	189	11,653	1	1,744	3	0	--
Afar	aa	1	510	4,681	1	3,608	4	0	--
Muscogee	mus	1	115	3,601	1	1,944	4	0	--
